"","survey_id","year","month","day","BMU","household_group","Total_Biomass_kg_per_fisherman","Avg_Trophic_Level","richness","total_catch_per_fisherman","Total_value_KES_per_fisherman","Mean_length_cm","Calcium_mg_per_fisherman","Iron_mg_per_fisherman","Omega3_g_per_fisherman","Protein_g_per_fisherman","VitaminA_ug_per_fisherman","Selenium_ug_per_fisherman","mean_lengthdist","Zinc_mg_per_fisherman","TakeHome_kg","Diet_percent_Herbivorous_Detritivorous","Diet_percent_Herbivorous_Macroalgal","Diet_percent_Omnivorous","Diet_percent_Planktivorous","Diet_percent_Carnivorous","trap_type","total_traps_collected","household_group_collapsed","No_fishermen"
"196","2022-04-19 11:30:00 SS/UYO/SB/091/FF","2022","Apr","19","UYOMBO","Social Marketing + Traps: Control",10.8807160425839,2.33157894736842,6,57.0000000000001,1639.47656950278,22.780701754386,4782.17952888777,90.4310216356707,18.4881349221988,2013.38152434714,3683.73571321183,3334.15002550999,2.53786782736842,184.365389916736,4.45152588020025,52.6315789473684,0,31.5789473684211,0,15.7894736842105,"Control",9,"Social Marketing + Traps",2
"197","2022-04-04 05:30:00 SS/UYO/SB/089/FF","2022","Apr","4","UYOMBO","Social Marketing + Traps: Control",2.50646505952078,2,2,11.5,447.572911769571,24.0869565217391,1011.42601334483,22.3817462154221,5.62415935123213,461.275005185101,586.742043190358,548.65719733578,-0.250092373333333,44.7520128421481,NA,66.6666666666667,0,33.3333333333333,0,0,"Control",2,"Social Marketing + Traps",2
"198","2022-04-25 07:00:00 SS/UYO/SB/086/FF","2022","Apr","25","UYOMBO","Social Marketing + Traps: Control",6.87044773979518,2.34777777777778,5,35,980.045069062241,22.1428571428571,2962.48304658752,66.2116938635453,12.539303076967,1253.83924618309,1568.52543639455,2156.88992070406,-1.97967878222222,164.006100019873,1.36977597258892,33.3333333333333,0,44.4444444444444,0,22.2222222222222,"Control",7,"Social Marketing + Traps",1
"199","2022-04-25 07:00:00 SS/UYO/SB/090/FF","2022","Apr","25","UYOMBO","Social Marketing + Traps: Control",1.6699880913851,2.162,2,9,200.398570966213,22.1666666666667,766.373243828931,13.9277381655553,2.06917357474822,307.788432246036,411.856808014863,565.514987270997,3.21023106,31.7572349786325,0.556440735025031,60,0,40,0,0,"Control",6,"Social Marketing + Traps",2
"200","2022-04-25 07:00:00 SS/UYO/SB/100/FF","2022","Apr","25","UYOMBO","Social Marketing + Traps: Control",4.36184701245916,2.054,3,17.5,791.725111734421,26.1428571428571,1910.831708195,39.2449863907867,10.236948032696,800.029129762464,1118.46519375151,1045.73539086133,1.664387504,75.0235912600853,2.79482781499293,60,0,40,0,0,"Control",7,"Social Marketing + Traps",2
"201","2022-04-25 07:00:00 SS/UYO/SB/088/FF","2022","Apr","25","UYOMBO","Social Marketing + Traps: Experimental",1.31027016992609,2.82,4,6.5,262.054033985218,25.6923076923077,647.68235621057,11.297447599029,3.68905544986536,237.760588572174,698.880300092814,475.423302674486,0.740580294,20.5403466208306,NA,50,0,0,0,50,"Experimental",4,"Social Marketing + Traps",2
"202","2022-04-25 07:00:00 SS/UYO/SB/100/FF","2022","Apr","25","UYOMBO","Social Marketing + Traps: Experimental",0.218337186038862,2,1,0.5,43.6674372077726,33,95.5015334133662,2.03062064324134,0.601197459130856,39.734485524379,58.9123690467806,46.1525811679648,7.2564563,3.7239872520599,NA,100,0,0,0,0,"Experimental",4,"Social Marketing + Traps",2
"203","2022-04-26 07:30:00 SS/UYO/SB/100/FF","2022","Apr","26","UYOMBO","Social Marketing + Traps: Experimental",2.68405612969612,2.476666689,2,15.5,536.811225939224,23.1612903225806,1136.84417431716,24.3506530849774,7.04007828367342,492.697419750274,727.19690577927,624.442172313426,-3.00889151666667,46.5603313508468,1.96565770192449,66.6666666666667,0,0,0,33.3333333333333,"Experimental",4,"Social Marketing + Traps",2
"204","2022-04-26 07:30:00 SS/UYO/SB/089/FF","2022","Apr","26","UYOMBO","Social Marketing + Traps: Control",2.89229270298468,2.25285714285714,5,16,505.001673066772,23.15625,1258.37099846085,25.0092853759432,6.38415195187576,529.45296891088,1082.52696105468,780.425215934576,2.54739507857143,48.8850663106592,1.11288147005006,42.8571428571429,0,42.8571428571429,0,14.2857142857143,"Control",8,"Social Marketing + Traps",2
"205","2022-04-26 07:30:00 SS/UYO/SB/088/FF","2022","Apr","26","UYOMBO","Social Marketing + Traps: Control",2.09357089653208,2.28333333333333,4,11,406.781355692807,23.6818181818182,954.941282571182,19.9648426227298,5.47714989546207,384.104924829547,538.86105215215,522.154016865483,0.422795686666666,38.2394568797422,1.63804808493707,66.6666666666667,0,16.6666666666667,0,16.6666666666667,"Control",5,"Social Marketing + Traps",2
