"","trap_type","survey_id","N","median_length","sd","se","ci"
"24","Control","2021-05-19 11:43:00 SS/MAY/SB/042/FF",13,22.2307692307692,3.44368615860597,0.955106693958419,2.08099871849765
"25","Control","2021-05-19 12:25:00 SS/MAY/SB/002/FF",21,25.6190476190476,3.39817878393987,0.741543404876069,1.54683243713255
"26","Control","2021-05-19 12:25:00 SS/MAY/SB/006/FF",17,26.8235294117647,3.32105582077536,0.805474349272303,1.70752934140915
"27","Control","2021-05-19 12:30:00 SS/MAY/SB/030/FF",82,29.890243902439,7.99846605287767,0.883282812477135,1.7574557317303
"28","Control","2021-05-19 12:35:00 SS/MAY/SB/034/FF",15,25.3333333333333,3.71611676478603,0.959497222838566,2.05791687063826
"29","Control","2021-05-19 12:47:00 SS/MAY/SB/074/FF",22,29.1363636363636,9.87201650913885,2.10472099162281,4.37700691346778
"30","Control","2021-05-19 12:50:00 SS/MAY/SB/033/FF",12,27.5833333333333,4.5016831868926,1.29952399987943,2.86023303891755
"31","Control","2021-05-19 12:57:00 SS/MAY/SB/043/FF",14,26.5714285714286,6.02193791596495,1.60943060614031,3.47696343625744
"32","Control","2021-05-19 13:15:00 SS/MAY/SB/029/FF",17,29.7647058823529,9.83316716376714,2.38489334415101,5.05574803834322
"33","Control","2021-05-19 13:15:00 SS/MAY/SB/058/FF",17,29.7647058823529,9.83316716376714,2.38489334415101,5.05574803834322
"34","Control","2021-05-19 13:15:00 SS/MAY/SB/081/FF",17,29.7647058823529,9.83316716376714,2.38489334415101,5.05574803834322
"35","Control","2021-05-19 14:00:00 SS/UYO/SB/089/FF",29,25.0689655172414,4.12250820394885,0.765530555069953,1.56811825626777
"36","Control","2021-05-19 14:00:00 SS/UYO/SB/095/FF",29,23.3448275862069,1.85695338177052,0.344827586206897,0.706347290274222
"37","Control","2021-05-19 14:30:00 SS/UYO/SB/094/FF",54,19.7592592592593,5.67661600359502,0.772489593029158,1.54941790764296
"38","Control","2021-05-19 15:00:00 SS/UYO/SB/090/FF",44,21.6363636363636,3.63504204313941,0.548003207011832,1.10515379273259
"39","Control","2021-05-19 15:00:00 SS/UYO/SB/096/FF",27,20.2222222222222,2.53184841770917,0.487254455170572,1.001565876713
"40","Control","2021-05-19 15:00:00 SS/UYO/SB/100/FF",9,20.2222222222222,3.63241578628389,1.21080526209463,2.79212194131718
"41","Control","2021-05-19 15:15:00 SS/UYO/SB/091/FF",38,21.0263157894737,2.47677691720142,0.401786271332284,0.814096314722043
"42","Control","2021-05-20 12:20:00 SS/MAY/SB/028/FF",22,31.6363636363636,3.15542547950509,0.672738972637232,1.39903728138426
"43","Control","2021-05-20 12:25:00 SS/MAY/SB/034/FF",42,29.7857142857143,4.1055329370088,0.633497485560164,1.27937412676035
"44","Control","2021-05-20 12:30:00 SS/MAY/SB/006/FF",27,29.6666666666667,2.40192230707631,0.462250163521024,0.950168819134947
"45","Control","2021-05-20 12:30:00 SS/MAY/SB/034/FF",42,29.7857142857143,4.1055329370088,0.633497485560164,1.27937412676035
"46","Control","2021-05-20 12:30:00 SS/MAY/SB/038/FF",21,28.4761904761905,4.15474484919408,0.906639655459989,1.89121718113125
"47","Control","2021-05-20 12:42:00 SS/MAY/SB/002/FF",24,29.0416666666667,4.16485467846762,0.850147401257414,1.75866389158913
"48","Control","2021-05-20 12:43:00 SS/MAY/SB/042/FF",21,23,9.48683298050514,2.07019667802706,4.31835459901567
"49","Control","2021-05-20 12:43:00 SS/MAY/SB/043/FF",14,23,10.7417231105915,2.87084625881607,6.20208627506971
"50","Control","2021-05-20 12:45:00 SS/MAY/SB/014/FF",45,28.3333333333333,6.25227231419978,0.932033727226042,1.87839055213933
"51","Control","2021-05-20 12:45:00 SS/MAY/SB/053/FF",21,26.3333333333333,4.28174419288838,0.934353184302314,1.94902658929109
"52","Control","2021-05-20 13:15:00 SS/MAY/SB/015/FF",25,29.4,4.21307488658818,0.842614977317636,1.7390718396921
