"","survey_id","trap_type","total_traps_collected","reported_kg_trap","CPUE","reported_KES_trap"
"145","2021-05-24 SS/UYO/SB/089/FF 2021-05-24 09:30:00","Control",2,1.6,11,300
"146","2021-05-24 SS/UYO/SB/085/FF 2021-05-24 09:30:00","Control",8,0.4,2.75,75
"147","2021-05-24 SS/UYO/SB/091/FF 2021-05-24 09:30:00","Control",9,0.622222222222222,3.11111111111111,88.8888888888889
"148","2021-05-24 SS/UYO/SB/099/FF 2021-05-24 10:00:00","Control",6,0.416666666666667,2.16666666666667,83.3333333333333
"149","2021-05-24 SS/UYO/SB/090/FF 2021-05-24 10:00:00","Control",6,0.416666666666667,2.16666666666667,83.3333333333333
"150","2021-05-25 SS/UYO/SB/088/FF 2021-05-25 09:00:00","Control",5,0.24,1.2,48
"151","2021-05-25 SS/UYO/SB/091/FF NaN","Control",9,0.766666666666667,4.77777777777778,153.333333333333
"152","2021-05-25 SS/UYO/SB/095/FF 2021-05-25 08:30:00","Control",7,0.242857142857143,2.14285714285714,48.5714285714286
"153","2021-05-25 SS/UYO/SB/100/FF 2021-05-25 10:00:00","Control",7,0.357142857142857,0.714285714285714,71.4285714285714
"154","2021-05-25 SS/UYO/SB/092/FF 2021-05-25 11:00:00","Control",5,0.2,0.6,40
"155","2021-05-25 SS/UYO/SB/099/FF 2021-05-25 11:00:00","Control",7,0.414285714285714,1.71428571428571,82.8571428571429
"156","2021-05-25 SS/UYO/SB/090/FF 2021-05-25 11:00:00","Control",6,0.483333333333333,2,96.6666666666667
"157","2021-05-25 SS/UYO/SB/086/FF 2021-05-25 10:00:00","Control",7,0.428571428571429,3.57142857142857,85.7142857142857
"158","2021-05-25 SS/UYO/SB/089/FF 2021-05-25 11:00:00","Control",8,0.2375,1.5,47.5
"159","2021-05-25 SS/UYO/SB/085/FF 2021-05-25 11:00:00","Control",7,0.271428571428571,1.71428571428571,54.2857142857143
"160","2021-05-25 SS/UYO/SB/094/FF 2021-05-25 10:00:00","Control",8,0.375,2.875,75
"161","2021-05-26 SS/UYO/SB/091/FF 2021-05-26 11:00:00","Control",9,0.722222222222222,5.66666666666667,144.444444444444
"162","2021-05-26 SS/UYO/SB/085/FF 2021-05-27 11:30:00","Control",8,0.3875,7.125,77.5
"163","2021-05-26 SS/UYO/SB/100/FF 2021-05-26 10:30:00","Control",7,0.142857142857143,2,28.5714285714286
"164","2021-05-26 SS/UYO/SB/088/FF 2021-05-26 10:30:00","Control",5,0.32,2.4,64
"165","2021-05-26 SS/UYO/SB/085/FF 2021-05-26 11:00:00","Control",8,0.775,7.125,155
"166","2021-05-26 SS/MAY/SB/014/FF 2021-05-26 12:36:00","Control",9,0.777777777777778,1.55555555555556,155.555555555556
"167","2021-05-26 SS/MAY/SB/006/FF 2021-05-26 13:15:00","Control",12,1,1.33333333333333,200
"168","2021-05-26 SS/MAY/SB/074/FF 2021-05-26 11:57:00","Control",10,0.9,2.6,180
"169","2021-05-26 SS/MAY/SB/013/FF 2021-05-26 12:36:00","Control",15,0.866666666666667,1.06666666666667,173.333333333333
"170","2021-05-26 SS/MAY/SB/077/FF 2021-05-26 12:26:00","Control",9,1.44444444444444,2.55555555555556,288.888888888889
"171","2021-05-26 SS/UYO/SB/089/FF 2021-05-26 11:00:00","Control",8,0.775,4,155
"172","2021-05-26 SS/UYO/SB/097/FF 2021-05-26 11:00:00","Control",12,0.25,1.66666666666667,50
"173","2021-05-26 SS/UYO/SB/086/FF 2021-05-26 10:30:00","Control",7,0.428571428571429,3,71.4285714285714
"174","2021-05-27 SS/UYO/SB/089/FF 2021-05-27 11:30:00","Control",8,0.3875,3.125,77.5
"175","2021-05-27 SS/UYO/SB/090/FF 2021-05-27 11:30:00","Control",6,0.633333333333333,4.16666666666667,126.666666666667
"176","2021-05-27 SS/UYO/SB/100/FF 2021-05-27 09:00:00","Control",7,0.357142857142857,3.28571428571429,71.4285714285714
"177","2021-05-27 SS/UYO/SB/099/FF 2021-05-27 11:00:00","Control",6,0.633333333333333,3.33333333333333,126.666666666667
"178","2021-05-27 SS/UYO/SB/095/FF 2021-05-27 08:30:00","Control",7,0.571428571428571,3.14285714285714,114.285714285714
"179","2021-05-27 SS/UYO/SB/088/FF 2021-05-27 11:00:00","Control",5,0.22,1.8,44
"180","2021-05-27 SS/UYO/SB/086/FF 2021-05-27 11:00:00","Control",7,0.471428571428571,3.14285714285714,94.2857142857143
"181","2021-05-27 SS/UYO/SB/091/FF 2021-05-27 11:30:00","Control",9,1,NA,200
"182","2021-05-28 SS/UYO/SB/088/FF NaN","Control",5,0.18,0.8,36
"183","2021-05-28 SS/UYO/SB/095/FF 2021-05-28 11:30:00","Control",7,0.214285714285714,1.71428571428571,42.8571428571429
"184","2021-05-28 SS/UYO/SB/089/FF 2021-05-28 12:00:00","Control",8,0.4625,4.25,92.5
"185","2021-05-28 SS/UYO/SB/100/FF 2021-05-28 00:00:00","Control",7,0.5,7.42857142857143,100
"186","2021-05-28 SS/UYO/SB/085/FF 2021-05-28 11:30:00","Control",8,0.4625,4.25,92.5
"187","2021-05-28 SS/UYO/SB/092/FF 2021-05-28 12:00:00","Control",5,0.14,0.6,28
"188","2021-05-28 SS/UYO/SB/096/FF 2021-05-28 00:00:00","Control",12,0.541666666666667,4.16666666666667,108.333333333333
"189","2021-05-28 SS/UYO/SB/091/FF 2021-05-28 12:00:00","Control",9,1.18888888888889,NA,237.777777777778
"190","2021-05-28 SS/UYO/SB/099/FF 2021-05-28 12:00:00","Control",6,0.833333333333333,NA,166.666666666667
"191","2021-05-28 SS/UYO/SB/090/FF 2021-05-28 12:00:00","Control",6,0.833333333333333,NA,166.666666666667
"192","2021-05-29 SS/UYO/SB/088/FF 2021-05-29 09:00:00","Control",5,0.26,1,52
"193","2021-05-29 SS/UYO/SB/085/FF 2021-05-29 12:30:00","Control",8,0.625,NA,125
"194","2021-05-29 SS/UYO/SB/089/FF 2021-05-29 12:30:00","Control",8,0.625,NA,125
"195","2021-05-29 SS/UYO/SB/095/FF 2021-05-29 10:00:00","Control",7,0.214285714285714,1.14285714285714,42.8571428571429
"196","2021-05-29 SS/UYO/SB/100/FF 2021-05-29 12:30:00","Control",3,1,5.33333333333333,200
"197","2021-05-29 SS/UYO/SB/092/FF 2021-05-29 12:30:00","Control",5,0.4,1.4,80
"198","2021-05-29 SS/UYO/SB/090/FF 2021-05-29 12:30:00","Control",6,0.583333333333333,3.5,116.666666666667
"199","2021-05-29 SS/UYO/SB/091/FF 2021-05-29 12:30:00","Control",9,1.33333333333333,NA,266.666666666667
"200","2021-05-29 SS/UYO/SB/099/FF 2021-05-29 12:30:00","Control",6,0.583333333333333,3.5,116.666666666667
"201","2021-05-29 SS/UYO/SB/086/FF 2021-05-29 12:30:00","Control",7,0.285714285714286,3.14285714285714,57.1428571428571
"202","2021-05-30 SS/UYO/SB/096/FF 2021-05-30 13:30:00","Control",12,0.291666666666667,1.33333333333333,58.3333333333333
"203","2021-05-30 SS/UYO/SB/092/FF 2021-05-30 13:30:00","Control",5,0.34,1.6,68
"204","2021-05-30 SS/UYO/SB/100/FF 2021-05-30 13:30:00","Control",7,0.285714285714286,2.57142857142857,57.1428571428571
"205","2021-05-30 SS/UYO/SB/094/FF 2021-05-30 12:00:00","Control",8,0.3125,3,62.5
"206","2021-05-30 SS/UYO/SB/088/FF 2021-05-30 08:00:00","Control",5,0.32,1.4,64
"207","2021-05-30 SS/UYO/SB/095/FF 2021-05-30 10:30:00","Control",7,0.5,3.14285714285714,85.7142857142857
"208","2021-05-31 SS/UYO/SB/095/FF 2021-05-31 10:30:00","Control",7,0.428571428571429,2.57142857142857,85.7142857142857
"209","2021-05-31 SS/UYO/SB/085/FF 2021-05-31 14:00:00","Control",8,0.625,4.875,125
"210","2021-05-31 SS/UYO/SB/089/FF 2021-05-31 14:00:00","Control",8,0.625,4.875,125
"211","2021-05-31 SS/UYO/SB/096/FF 2021-05-31 14:00:00","Control",7,0.357142857142857,NA,71.4285714285714
"212","2021-05-31 SS/UYO/SB/100/FF 2021-05-31 08:00:00","Control",7,0.185714285714286,0.857142857142857,37.1428571428571
"213","2021-05-31 SS/UYO/SB/092/FF 2021-05-31 14:00:00","Control",5,0.3,1.6,60
"214","2021-05-31 SS/UYO/SB/099/FF 2021-05-31 14:00:00","Control",6,2.83333333333333,NA,566.666666666667
"215","2021-05-31 SS/UYO/SB/090/FF 2021-05-31 14:00:00","Control",6,2.83333333333333,NA,566.666666666667
"216","2021-05-31 SS/UYO/SB/091/FF 2021-05-31 14:00:00","Control",9,1.63333333333333,NA,326.666666666667
"217","2021-06-01 SS/UYO/SB/088/FF 2021-06-01 09:00:00","Control",5,0.38,1.2,76
"218","2021-06-01 SS/UYO/SB/090/FF 2021-06-01 14:30:00","Control",6,1.83333333333333,NA,366.666666666667
