"","survey_id","trap_type","BMU","Diet_percent_Herbivorous_Detritivorous","Diet_percent_Herbivorous_Macroalgal","Diet_percent_Omnivorous","Diet_percent_Planktivorous","Diet_percent_Carnivorous"
"677","2022-04-07 12:53:00 SS/MAY/SB/058/FF","Experimental","MAYUNGU",66.6666666666667,0,0,0,33.3333333333333
"678","2022-04-07 12:55:00 SS/MAY/SB/065/FF","Experimental","MAYUNGU",100,0,0,0,0
"679","2022-04-07 12:57:00 SS/MAY/SB/082/FF","Experimental","MAYUNGU",100,0,0,0,0
"680","2022-04-07 12:58:00 SS/MAY/SB/070/FF","Experimental","MAYUNGU",75,0,0,0,25
"681","2022-04-09 13:04:00 SS/MAY/SB/028/FF","Experimental","MAYUNGU",100,0,0,0,0
"682","2022-04-11 12:17:00 SS/MAY/SB/033/FF","Control","MAYUNGU",75,0,0,0,25
"683","2022-04-11 12:37:00 SS/MAY/SB/026/FF","Control","MAYUNGU",50,0,25,0,25
"684","2022-04-11 12:52:00 SS/MAY/SB/070/FF","Experimental","MAYUNGU",66.6666666666667,0,0,0,33.3333333333333
"685","2022-04-11 12:54:00 SS/MAY/SB/082/FF","Experimental","MAYUNGU",100,0,0,0,0
"686","2022-04-11 12:57:00 SS/MAY/SB/025/FF","Experimental","MAYUNGU",66.6666666666667,0,0,0,33.3333333333333
"687","2022-04-14 09:00:00 SS/UYO/SB/089/FF","Experimental","UYOMBO",66.6666666666667,0,0,0,33.3333333333333
"688","2022-04-14 12:59:00 SS/MAY/SB/028/FF","Experimental","MAYUNGU",33.3333333333333,0,33.3333333333333,33.3333333333333,0
"689","2022-04-18 11:00:00 SS/UYO/SB/085/FF","Control","UYOMBO",66.6666666666667,0,0,0,33.3333333333333
"690","2022-04-18 11:00:00 SS/UYO/SB/085/FF","Experimental","UYOMBO",100,0,0,0,0
"691","2022-04-18 11:00:00 SS/UYO/SB/088/FF","Control","UYOMBO",28.5714285714286,0,28.5714285714286,0,42.8571428571429
"692","2022-04-18 11:00:00 SS/UYO/SB/091/FF","Control","UYOMBO",40,0,20,0,40
